0,"['1,2,0, {4, 23}']"
000,"['0,2,0, {445, 863}']"
1,"['0,3,0, {118, 86, 999}', '1,1,0, {20}']"
10,"['0,2,0, {1001, 502}']"
11,"['0,1,0, {1002}']"
12,"['0,1,0, {1003}']"
13,"['0,1,0, {1004}']"
14,"['1,1,0, {19}']"
1430438400,"['1,1,0, {86}']"
1430524799,"['1,1,0, {87}']"
1491,"['1,1,0, {85}']"
1952,"['0,1,0, {534}']"
2,"['0,1,0, {47}', '1,2,0, {3, 133}']"
20,"['0,1,0, {431}']"
2014,"['0,1,0, {793}']"
2015,"['0,1,0, {126}']"
20150501,"['1,1,0, {72}']"
20150502,"['1,1,0, {76}']"
2017,"['0,1,0, {123}']"
2018,"['0,11,0, {503, 643, 804, 360, 744, 840, 173, 48, 432, 274, 87}']"
20180501t070348z,"['1,1,0, {80}']"
20180501t070927z,"['1,1,0, {83}']"
2019,"['0,1,0, {1008}']"
20191013t140443,"['1,1,0, {78}']"
2020,"['0,1,0, {489}']"
22,"['0,1,0, {1005}']"
23,"['0,1,0, {311}']"
26,"['0,2,0, {273, 359}']"
30,"['0,1,0, {172}']"
50,"['0,1,0, {322}']"
6,"['0,1,0, {839}', '1,1,0, {18}']"
9,"['0,3,0, {1000, 642, 743}']"
900,"['0,1,0, {862}']"
980,"['0,1,0, {444}']"
a,"['0,15,0, {546, 387, 808, 861, 717, 973, 143, 655, 50, 443, 374, 917, 155, 796, 317}']"
academi,"['0,2,1,{354, 381}']"
achiev,"['0,1,0, {969}']"
act,"['0,1,0, {900}']"
aditi,"['0,2,1,{41, 63}']"
admiss,"['0,3,0, {816, 33, 35}']"
advanc,"['0,2,0, {561, 937}']"
aim,"['0,1,0, {574}']"
alexand,"['0,1,1,{634}']"
alexandru,"['0,1,1,{631}']"
algorithm,"['0,1,0, {393}']"
all,"['0,1,0, {101}']"
almaden,"['1,1,0, {100}']"
alumni,"['0,2,1,{91, 75}']"
amari,"['0,1,0, {526}']"
amazon,"['0,2,1,{812, 741}']"
an,"['0,3,0, {784, 194, 228}']"
analyz,"['0,1,1,{427}']"
and,"['0,40,4,{769, 514, 898, 132, 270, 145, 530, 147, 914, 153, 665, 411, 931, 805, 166, 556, 813, 821, 566, 950, 569, 953, 963, 68, 708, 965, 584, 591, 465, 849, 340, 470, 854, 982, 218, 607, 98, 247, 633, 636}', '1,2,0, {112, 121}']"
andi,"['0,1,0, {128}']"
app,"['0,2,0, {232, 139}']"
appli,"['0,2,0, {150, 30}']"
applic,"['0,1,0, {700}']"
approach,"['0,1,0, {984}']"
approxim,"['0,1,0, {321}']"
april,"['0,10,0, {641, 358, 742, 488, 838, 171, 430, 272, 501, 310}']"
arash,"['0,1,0, {531}']"
architectur,"['0,1,0, {987}']"
are,"['0,1,0, {765}']"
area,"['0,1,0, {7}']"
arena,"['0,1,0, {315}']"
articl,"['0,1,0, {649}']"
as,"['0,4,0, {600, 242, 373, 598}']"
at,"['0,6,1,{258, 169, 111, 312, 282, 925}']"
attend,"['0,2,0, {209, 324}']"
autograv,"['0,3,1,{80, 112, 135}']"
award,"['0,3,3,{419, 829, 494}']"
away,"['0,1,0, {344}']"
background,"['0,1,0, {706}']"
baldi,"['0,2,1,{440, 418}']"
be,"['0,4,0, {994, 795, 939, 783}']"
becaus,"['0,2,0, {200, 191}']"
been,"['0,1,0, {371}']"
begin,"['1,2,0, {0, 67}']"
behind,"['0,1,0, {251}']"
big,"['0,1,0, {412}', '1,1,0, {109}']"
bioinformat,"['0,1,0, {480}']"
biolog,"['0,1,0, {484}']"
blown,"['0,1,0, {343}']"
both,"['0,1,0, {819}']"
braunschweig,"['0,1,0, {930}']"
bren,"['0,1,0, {510}', '1,3,0, {61, 11, 37}']"
bring,"['0,1,1,{620}']"
browser,"['0,1,0, {718}']"
build,"['0,1,0, {885}']"
buy,"['0,2,1,{138, 84}']"
by,"['0,5,1,{289, 628, 916, 345, 127}']"
c,"['1,3,0, {97, 131, 93}']"
caldesc,"['1,1,0, {53}']"
california,"['0,2,0, {663, 55}']"
calnam,"['1,1,0, {31}']"
calscal,"['1,1,0, {25}']"
can,"['0,1,0, {993}']"
candid,"['0,2,1,{37, 638}']"
capabl,"['0,1,0, {678}']"
car,"['0,3,1,{144, 137, 83}']"
career,"['0,1,0, {554}']"
carey,"['1,1,0, {105}']"
categori,"['1,1,0, {134}']"
center,"['0,2,0, {9, 52}', '1,1,0, {102}']"
challeng,"['0,1,1,{269}']"
chanc,"['0,1,0, {332}']"
chancellor,"['0,3,0, {841, 433, 364}']"
chip,"['0,4,1,{946, 938, 883, 837}']"
circadian,"['0,3,1,{483, 428, 463}']"
classic,"['1,1,0, {118}']"
club,"['0,2,0, {217, 294}']"
cmtc,"['0,2,1,{59, 38}']"
coast,"['0,1,0, {186}']"
collabor,"['0,3,0, {912, 297, 658}']"
colleg,"['0,1,0, {187}']"
come,"['0,1,0, {942}']"
common,"['0,2,0, {104, 697}']"
compel,"['0,1,0, {694}']"
complement,"['0,1,0, {915}']"
complet,"['0,1,0, {342}']"
complex,"['0,1,0, {905}']"
comput,"['0,19,4,{515, 899, 650, 778, 12, 404, 409, 44, 685, 175, 437, 698, 836, 845, 855, 221, 615, 621, 368}', '1,6,0, {65, 34, 8, 41, 15, 58}']"
concert,"['0,1,0, {902}']"
connect,"['0,1,0, {894}']"
consult,"['0,1,0, {58}']"
consumpt,"['0,1,0, {961}']"
contact,"['0,1,0, {2}']"
control,"['0,1,0, {951}']"
counti,"['0,1,0, {196}']"
coursework,"['0,1,0, {801}']"
creat,"['1,1,0, {79}']"
cs,"['0,1,1,{629}', '1,3,0, {48, 89, 127}']"
current,"['0,2,0, {109, 15}']"
danish,"['0,2,1,{353, 380}']"
data,"['0,1,0, {413}', '1,1,0, {110}']"
databas,"['1,1,0, {115}']"
date,"['1,2,0, {75, 71}']"
dealership,"['0,1,0, {146}']"
deep,"['0,1,0, {712}']"
degre,"['0,2,0, {19, 11}']"
depart,"['1,3,0, {32, 56, 6}']"
describ,"['0,1,0, {668}']"
descript,"['1,1,0, {95}']"
design,"['0,3,0, {394, 979, 940}']"
detail,"['0,1,0, {989}']"
detect,"['0,1,0, {703}']"
develop,"['0,7,1,{545, 227, 293, 455, 423, 876, 981}']"
diego,"['0,1,0, {824}']"
digit,"['0,1,1,{82}']"
disabl,"['0,1,0, {606}']"
discuss,"['0,2,1,{65, 43}']"
diseas,"['0,1,0, {471}']"
distinguish,"['0,1,0, {25}', '1,1,0, {135}']"
divers,"['0,1,0, {578}']"
do,"['0,2,0, {89, 682}']"
doctor,"['0,1,0, {592}']"
donald,"['0,1,0, {509}', '1,3,0, {10, 36, 60}']"
doubt,"['0,1,0, {775}']"
dtend,"['1,1,0, {73}']"
dtstamp,"['1,1,0, {77}']"
dtstart,"['1,1,0, {69}']"
dutt,"['0,2,2,{848, 827}']"
earli,"['0,1,0, {553}']"
