copyright : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
1999 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
the : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 236}
university : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
of : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 73}
california : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
at : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 21}
irvine : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
description : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
source : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
code : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 7}
files : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 9}
this : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 15}
software : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
implements : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
hybrid : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 33}
tree : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 43}
index : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 10}
structure : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
as : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 22}
described : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
in : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 33}
1 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 31}
distribution : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
contains : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
total : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 10}
26 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 1}
12 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
htree : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 19}
node : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 12}
datanode : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
ofnode : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
monode : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 4}
htreesearch : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 2}
htreerangesearch : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 3}
multipointquery : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
point : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 40}
rect : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 7}
htreetest : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 17}
gensearchtest : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 5}
2 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 24}
10 : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 23}
decl : {http://www-db.ics.uci.edu/pages/software/htree/htree_README, 6}
